VideoId,Title,PublishedAt,ChannelId,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,CommentCount
cmwtCFtBqEA,KIKO LOUREIRO fala sobre MEGADETH?,2023-11-29T04:01:41Z,UCYoXe5Trn6XjRbgPsmqCBuw,Cortes do Amplifica [OFICIAL],People & Blogs,222992,13836,0,1162
pQq9eP5OFhw,Taylor Swift - You're Losing Me (From The Vault),2023-11-29T13:00:47Z,UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,Music,1384558,179033,0,12065
ssVvfHuLdrA,RAFA e KIKO relembram MÚSICAS do ANGRA,2023-11-29T05:38:43Z,UCYoXe5Trn6XjRbgPsmqCBuw,Cortes do Amplifica [OFICIAL],People & Blogs,138130,8187,0,418
vASO9fxcaYw,🐔A FAZENDA 15 VÍDEO: BLACK CUSPIU NO CHAPÉU?; TONZÃO VOLTA FAZENDEIRO; SHERA VAI PEDIR FICA KALLY?,2023-11-30T04:33:41Z,UC0LlPl_mWhIFqVxcH1l3xpQ,WebTVBrasileira,Entertainment,238928,22496,0,804
2U8sXj16wY4,Isso precisa acabar... Fortnite!,2023-11-29T12:19:12Z,UC0bC92gFO25qcJcECTQNN_A,Flakes Power,Gaming,234266,15934,0,542
qkzg0bwrFHg,DE FRENTE COM BLOGUEIRINHA: LUÍSA SONZA - T2E31 | DiaTV,2023-11-28T01:08:20Z,UCF8MQYobXcHejWAaet4nSxA,Blogueirinha,Entertainment,1502124,101446,0,2115
6XpezVA-9D0,🎙️ ENTREVISTA COLETIVA: FELIPÃO | PÓS FLAMENGO X GALO,2023-11-30T01:25:05Z,UC0BhAOfmm1tJaJkPyTM9D_g,Galotv,Sports,30665,2563,0,89
4l8_clZxBa8,"HOMEM POBRE DA A VOLTA POR CIMA, GANHA MUITO DINHEIRO E COMPRA UMA CASA PRÓPRIA!",2023-11-29T15:00:05Z,UCIXguhHCl8eDTkXpEuiGPUA,Jazzghost,Gaming,791651,60012,0,3433
A2OGzMqr-LM,EPISÓDIO 02 - 2/5: Caixa misteriosa escondidinha | TEMP 02 | MASTERCHEF + (28/11/2023),2023-11-29T08:01:00Z,UC2EWGw-KBjEReUbXMJEiaCA,MasterChef Brasil,Entertainment,476072,8240,0,360
8wqBSAfIpSQ,USEI A NOVA EVOLUÇÃO DO ESPÍRITO DE GELO NO CLASH ROYALE!,2023-11-29T15:51:00Z,UCCXR1oSwEjJgD10Q_wFmf2A,KENNEDY CLASH,Gaming,106899,8225,0,327
kzdneBBSJpw,O QUE ACONTECEU COM MEU JOGO???,2023-11-29T00:07:54Z,UC0NC9if2KdJDdaVvJDPurcQ,Toddyn,Education,121062,20788,0,845
qY0nWLXu4jo,ESTE É O FUTURO DOS GAMES! Eu testei tudo! - AyaNeo Kun e Air 1S,2023-11-28T22:00:32Z,UCuxfOdbKQy0tgGXcm9sjHiw,Coisa de Nerd,Science & Technology,187841,23780,0,448
lrdH2Oddk8k,Exclusivo: Ana Hickmann desabafa pela primeira vez após ser agredida pelo marido,2023-11-27T02:57:38Z,UCP-Vg2PcmLiWpEdvMI1R35w,Domingo Espetacular,Entertainment,3405604,159948,0,0
sb_mf4OumTM,"João Guilherme sobreviveu a 3 ACIDENTES na fazenda! | Que História É Essa, Porchat? | GNT",2023-11-29T17:00:44Z,UC0f866RMRdL5mSVnipiOHxg,Canal GNT,Entertainment,138301,6826,0,144
AITD4GL49rE,NO ÚLTIMO MINUTO! | AMIGOS DO POZE 1 X 2 AMIGOS MC DANIEL | MELHORES MOMENTOS | DESAFIO DOS MCS,2023-11-29T02:35:19Z,UCZiYbVptd3PVPf4f6eR6UaQ,CazéTV,Sports,393504,16385,0,1010
FGouJkBD0ps,blink-182 - ANTHEM PART 3 (Live Performance Video),2023-11-29T16:00:08Z,UCdvlHk5SZWwr9HjUcwtu8ng,blink-182,Music,247510,17782,0,969
jJF2fLUdw18,🦊💙 BASTIDORES | Cruzeiro vence e conquista os 3 pontos contra o Goiás na reta final do Brasileirão!,2023-11-28T22:21:09Z,UCqifkpdmE1z3VhfQoJzwpJQ,Cruzeiro Esporte Clube,Sports,105695,9650,0,346
sLyBviSonFw,"SUBSTITUA O PÃO! Só 2 MIN, ZERO CARBOIDRATOS, Rico em Proteínas, Sem Farinha, Fácil, Rápido",2023-11-28T18:22:00Z,UCr0aVp0-APOWTZ2RUzVnCuw,Anjo Low Carb Receitas,People & Blogs,459199,4276,0,109
o48s2DGNQl4,TERMINEI O NAMORO DA EMILLY VICK E DO LEOZINN,2023-11-28T15:00:11Z,UC2bYhAHyaqfWlPXWBVk4BcA,Enaldinho,Entertainment,2070401,66846,0,1609
L2oFsAOC2XQ,UNIMOS NOSSAS BASES SECRETAS - Irmandade,2023-11-28T21:06:01Z,UCfSCj6pb_AMSszt73mqgP_Q,Lggj,Gaming,130748,12613,0,555
Qw7BCmCqoac,"X1 BRAZIL NA CAZÉTV | ETINHO X BERÔ, PAÇOCA X NEGO BIZA, L7 X DECO PITBULL | ETAPA ARACAJU",2023-11-28T03:33:27Z,UCZiYbVptd3PVPf4f6eR6UaQ,CazéTV,Sports,838422,27418,0,32
AHrAhqJRdq8,APÓS A GRANDE EXPLOSÃO NO MINECRAFT #3.25,2023-11-28T13:00:43Z,UCV306eHqgo0LvBf3Mh36AHg,Felipe Neto,Entertainment,1037843,99629,0,3831
zmCJkc-PsUU,Porque a FERRARI não quer o seu dinheiro (mesmo que você tenha),2023-11-28T14:00:49Z,UCSTlOTcyUmzvhQi6F8lFi5w,Atila Iamarino,Science & Technology,80193,13059,0,303
YIawY-JFJJc,NINJA ENTROU NA MENTE DOS CARAS - MÁFIA DO APITO vs RASTA PRA CIMA,2023-11-28T21:10:00Z,UCFjrDmEnxrG5TRGVO0TPHLA,Desimpedidos,Sports,511833,38888,0,596
FpjrrWRdDc8,Simulando um Oceano por 100 Dias,2023-11-27T21:06:55Z,UClogIrd2rorYvWylbb768eg,Dr. Plants Brasil,Pets & Animals,346878,25970,0,407
xa-xTjIjYAE,🔥💥 BASTA Colocar BICA no PVC que vai Resolver esse Problema na Sua Casa,2023-11-27T23:41:31Z,UC8ZwGV6ALKi-nv5QuvwFvcw,cm faça sem segredo,People & Blogs,349893,3322,0,66
sa_9KZ_l48Q,THE WALKING DEAD PLAY 2 KKKKKKKKK 🤣,2023-11-27T22:00:32Z,UCYzp8-P162Em-3uZnCuGJOg,Games EduUu,Gaming,800985,121338,0,3538
cdjTuWGh07E,24 HORAS SOBREVIVENDO NO SEU ELEMENTO *deu ruim?,2023-11-28T14:53:01Z,UC63iwP6BtIjxB6xn1GKR6Lw,Emilly Vick,Science & Technology,1210666,0,0,1313
z8i7tn6o4zI,[ Official MV ] No More Blues - FreenBecky,2023-11-28T08:00:10Z,UC2Xc1Vt6JfBLN3gcd054xNA,IDOLFACTORY OFFICIAL,Entertainment,640395,91777,0,6601
3uqgsIuGRM8,10 PARTIDAS DE STUMBLE GUYS EM 1 VÍDEO!,2023-11-28T15:00:04Z,UCIXguhHCl8eDTkXpEuiGPUA,Jazzghost,Gaming,812303,43037,0,1995
8dEG2_uYZH0,"""Desistir Não Vou Jamais"" MC Cebezinho - Vídeo Clipe (DJ Oreia)",2023-11-27T15:00:20Z,UCEpCeCLUp6Oy75p7WixzjcA,Mc Cebezinho,People & Blogs,197444,13608,0,409
O99k00dkICU,Unboxing e Comparativo do NOVO MODELO do PlayStation 5!,2023-11-28T15:00:29Z,UCWKtHaeXVzUscYGcm0hEunw,BRKsEDU,Gaming,177313,20107,0,674
XGRzl8hJXSc,V12 ABSURDO NA VOLTA RÁPIDA! Aston Martin Vantage manual (com som de Fórmula 1) na pista com Rubinho,2023-11-27T21:30:07Z,UCGBIIPnw0AYM3BFsmTsjeAw,Acelerados,Autos & Vehicles,293540,27138,0,809
IT_SFO8iJbQ,BRASILEIRÃO | Nova projeção para o REBAIXAMENTO,2023-11-28T02:44:13Z,UCNrTCU85LxXPXygNtkh_xrQ,Plantão do Paulinho,Sports,307615,10111,0,763
gj3cQrxf_aQ,POD ENTRAR - Tour exclusivo na mansão e closet milionários de Juju Salimeni com Lucas Rangel,2023-11-27T15:00:30Z,UCuUUWPHIioyfmctnDpwsFzw,POD DELAS,People & Blogs,547841,28232,0,1087
OVdULS6p2-g,Que Porra É Essa?,2023-11-28T03:01:41Z,UCAyXWdLucfUnjM1dqIVExkA,Leviano - Topic,Music,46944,2864,0,129
