VideoId,Title,PublishedAt,ChannelId,ChannelTitle,CategoryId,ViewCount,LikeCount,DislikeCount,CommentCount
vitK9NPwtBQ,≠ME（ノットイコールミー）/ 8th Single『アンチコンフィチュール』【MV full】,2023-11-28T12:00:10Z,UCBmvHfXdGCvi_b6lFeU-E1Q,NOT EQUAL ME ノットイコールミー 公式チャンネル,Music,492207,8862,0,749
CQ2DdIPdX-A,Nissy(⻄島隆弘) / Nissy × Saweetie「Feels」Music Video,2023-11-28T11:00:25Z,UCVLN35Ab6UoeKYiIZupgrIw,Nissy Channel,Entertainment,4164653,31964,0,512
NR-_5ZEn1jg,【3Dで初マッチ！】だるま＆SHAKAにひっかけクイズ出したらまさかのブチギレ！？ #くろなん,2023-11-27T10:00:09Z,UCz6vnIbgiqFT9xUcD6Bp65Q,ChroNoiR,Film & Animation,869124,42409,0,1430
327vLiYTETY,70歳でも高収入、休憩は3時間以上取り放題。会社員からタクシードライバーになった男の末路,2023-11-28T12:00:03Z,UCph76YzMKEXbVem2zqCM3BA,俺たち天下のゆとりーマン,Entertainment,268244,5880,0,402
590gopWG0Rc,【恋愛トーク】インスタで募集した恋バナについて親子で話したら大盛り上がりしました💕,2023-11-28T10:00:08Z,UC-CplAgEAaD9-KNxBajXoWg,せいら,People & Blogs,316055,7193,0,493
OMo0RUArqtg,King Gnu 4th ALBUM「THE GREATEST UNKNOWN」Teaser Movie,2023-11-27T11:00:08Z,UCkB8HnJSDSJ2hkLQFUc-YrQ,King Gnu official YouTube channel,Music,948621,50542,0,2310
DSW4JxFgeZ4,"[#2023MAMA] YOSHIKI X TAEHYUN,HUENINGKAI X JAEHYUN X ANTON X HANYUJIN-Endless Rain | Mnet 231128 방송",2023-11-28T10:50:16Z,UCbD8EppRX3ZwJSou-TVo90A,Mnet K-POP,Gaming,1364139,117230,0,8661
3SAxSvXSegU,【DFM梅崎代表 × CRおじじ】独占取材！新ロスター発表と2024シーズンの展望【VALORANT/ヴァロラント】,2023-11-28T12:30:09Z,UC8FnKHsSq_5s9ytfAhA4SuQ,SmashlogTV - VALORANT powered by OMEN + HyperX,Gaming,138037,3079,0,1059
-g6oYjNJoww,上沼恵美子がお姉ちゃんと倉敷で【戻りたくない過去】などについて語り合いました。,2023-11-28T09:00:00Z,UCxuuuG_hArKRyRWQaBhznPA,上沼恵美子ちゃんねる,Entertainment,158748,4303,0,212
olDWm2veCrM,BABYMONSTER - 'BATTER UP' M/V,2023-11-26T15:00:12Z,UCqwUnggBBct-AY2lAdI88jQ,BABYMONSTER,People & Blogs,49784228,1701310,0,166879
l9s3viAfwtI,日向坂46「リクエストひなリハ」～見たことない魔物～,2023-11-28T13:00:40Z,UCR0V48DJyWbwEAdxLL5FjxA,日向坂46 OFFICIAL YouTube CHANNEL,Music,192050,12283,0,1289
YallNvjkrro,【納車】待ちに待ったバイクが届きました【永野芽郁ちゃんもハーレー乗ってたね】,2023-11-28T10:00:23Z,UC24T2Vj2uSukiOwWcpG_9fA,極楽とんぼ山本圭壱 けいちょんチャンネル,Entertainment,277204,4302,0,460
sZ7TS5ACXoE,肝パンパンのカワハギを狙って網を仕掛けてみた…さすが海のフォアグラやんけ！,2023-11-28T10:00:49Z,UCIhqq_TjKA6IyCzgHTTxsAw,小豆島の漁師はまゆう,Entertainment,335990,4324,0,175
K7ZOCxj7A2Q,【リアル】ヒカキン20億円ハウスルーティーン【2Billion House Routine of HIKAKIN】,2023-11-28T10:00:12Z,UCZf__ehlCEBPop-_sldpBUQ,HikakinTV,Entertainment,1430272,38198,0,2475
1wRcjzS4UTU,カレー爆食しながらNGなしの質問コーナー,2023-11-28T11:00:02Z,UC0YsAI8JC0yx1sCbshABidA,ぺえ,People & Blogs,351485,6837,0,558
Tf4tlK3u-L4,【40代独身】６畳手抜き暮らし【ｻﾑﾈもﾃｷﾄｰ】|  絶望適当生活,2023-11-27T11:00:12Z,UCPFBm_DrKHW9Rw98FYpxgxw,絶望ライン工ch,People & Blogs,243612,11105,0,1286
abXN62S7pyU,【 #ラプラス2周年LIVE 】アイドルLIVE！？やります！🔥 [ 超最強ゲスト多数参戦！]【3D LIVE】,2023-11-26T12:04:48Z,UCENwRMx5Yh42zWpzURebzTw,Laplus ch. ラプラス・ダークネス - holoX -,Entertainment,964063,60425,0,1160
u79pRy3HVeU,おぱんちゅうさぎ『わんこ』,2023-11-26T14:23:56Z,UCe4fPeOTzh6ZXUOthA_YL-A,可哀想に!,Entertainment,680935,46822,0,1113
83CbLxuFIKM,【公式】KZHCUP in STREET FIGHTER 6 本配信【#KZHCUPinSF6】,2023-11-26T12:19:34Z,UCX7YkU9nEeaoZbkVLVajcMg,にじさんじ,Gaming,1675555,31169,0,228
WJmE6Y_RUJA,バイクブーム終了のこの冬からバイクの相場が急落するかも知れない,2023-11-27T08:56:19Z,UC0mhOaiTObQ9hsCIBQM7Hnw,二宮祥平ホワイトベース,Autos & Vehicles,143807,1858,0,237
zXNWKR9pnpM,②「助けて下さい」寒い日雨の中倒れていた子猫,2023-11-27T11:00:50Z,UCaMAZZltvTtYZvONRhV7z_g,譲渡型保護猫カフェしあわせにゃん家,Pets & Animals,148026,6544,0,107
jVWtDN04dyA,【人生初】人 間 ド ッ ク【結果発表】,2023-11-27T12:00:10Z,UCD-miitqNY3nyukJ4Fnf4_A,月ノ美兎,Entertainment,372340,21963,0,645
02JdBVHNveM,猫と一緒に旅館でお泊まりしたら2人とも大喜びで最高すぎました…笑,2023-11-27T11:01:01Z,UCplhkHsYKxXjTde1lq8F-4w,もちまる日記,Pets & Animals,994892,0,0,734
ABKkLIO1lAM,【マイクラ】魔術れ夢の国マルチ Part6【ゆっくり実況】,2023-11-27T09:11:23Z,UCSRAnh9A6QqeUKWvfVQYu8Q,ハピ(HAPI),Gaming,125143,4676,0,246
